Category,Language,Business Name,Phone #,Phone # 2,Website,Site Rating,Reviews,Rating,Owner First Name,Owner Last Name,Owners Cel #,Owners Phone #,Personal Email,Business Email,Owner Social Media,Owner Social Media 2,Instagram,Facebook,Linkedin,Business Address,City,County,State,Google Link,Plus Code,Source,LinkedIn
Flooring store,,Century Carpet & Creative Floors,(978) 772-6300,,century-carpets.com,,41,4.8,,,,,,,,,,https://www.facebook.com/centurycarpetcreativefloors,,"21 Main St, Ayer, MA 01432",Ayer,MIDDLESEX,MA,,"HC56+VV Ayer, Massachusetts",Google Maps,
General contractor,,Custom Hand Painted Tiles by Liette Marcil Designs,(617) 292-9282,,,,,,,,,,,,,,,,,"535 Albany St, Boston, MA 02118",Boston,SUFFOLK,MA,,"8WQM+97 Boston, Massachusetts",Google Maps,
Lumber store,,E.L. Morse Lumber - Finetco,(508) 295-1170,,elmorselumber.com,,19,3.6,,,,,,,,,,https://www.facebook.com/ELMorseLumber/,,"2502 Cranberry Hwy, Wareham, MA 02571",Wareham,PLYMOUTH,MA,,"Q7C8+Q4 Wareham, Massachusetts",Google Maps,
Tile store,,NY Carpet Tile Outlet,(617) 767-9639,,nycarpettile.com,,,,,,,,,,,,,,,"680 Worcester Rd, Framingham, MA 01702",Framingham,MIDDLESEX,MA,,"7HXG+55 Framingham, Massachusetts",Google Maps,
Tile contractor,,True Glaze Bathtub Refinishing,(617) 681-8073,,trueglazepr.com,,15,4.9,,,,,,,,,,,,"85 Manchester St, Lawrence, MA 01841",Lawrence,ESSEX,MA,,"PR7C+JG Lawrence, Massachusetts",Google Maps,
Carpet store,,Shea Floor By Design,(413) 447-7048,,,,,,,,,,,,,,,,,"188 Wahconah St, Pittsfield, MA 01201",Pittsfield,BERKSHIRE,MA,,"FP7X+J3 Pittsfield, Massachusetts",Google Maps,
Kitchen remodeler,,Coastal Creations Kitchen and Bath,(508) 338-7106,,coastalcreationskb.com,,4,4.0,,,,,,,,,,https://www.facebook.com/yourmvstyle/,,"395 State Rd, Vineyard Haven, MA 02568",Vineyard Haven,DUKES,MA,,"C9WM+RH Vineyard Haven, Tisbury, MA",Google Maps,
Flooring store,,Carpet Barn Ware House,,,,,,,,,,,,,,,,https://www.facebook.com/CarpetBarninc/,,"Chapel Park Ave, Falmouth, MA 02540",Falmouth,BARNSTABLE,MA,,"G9WX+4G Falmouth, Massachusetts",Google Maps,
Flooring store,,C & H Hardwood Floors,,,,,,,,,,,,,,,,,,"46 Irving St, Salem, MA 01970",Salem,ESSEX,MA,,"G3GP+VR Salem, Massachusetts",Google Maps,
Flooring store,,L.A.F. Floors and Interiors,(508) 753-2415,,laffloorsandinteriors.com,,10,3.5,,,,,,,,,,https://www.facebook.com/ALF-Floors-513085275371318/,,"360 Hartford Turnpike, Shrewsbury, MA 01545",Shrewsbury,WORCESTER,MA,,"67XQ+VQ Shrewsbury, Massachusetts",Google Maps,
General contractor,,JM Remodeling,(508) 987-3817,,jm-remodeling.com,,5,4.2,,,,,,,,,,https://www.facebook.com/JM-Remodeling-641876779201400/,https://www.linkedin.com/in/jm-remodeling-john-mason-a3460996,"24 Scenic Dr, Worcester, MA 01602",Worcester,WORCESTER,MA,,"74J9+JW Worcester, Massachusetts",Google Maps,
Countertop store,,Miracle Method of Western Mass,(413) 589-0769,,miraclemethod.com,,3,5.0,,,,,,,,,,https://www.facebook.com/miraclemethodwesternmass/,,"33 Grattan St, Chicopee, MA 01020",Chicopee,HAMPDEN,MA,,"5C68+8Q Chicopee, Massachusetts",Google Maps,
Bathroom remodeler,Portuguese,Bath Busters,(508) 925-4300,,bathbusters.com,,109,4.8,KHENER,ALMEIDA,,,,,,,https://www.instagram.com/bathbustersne/,https://www.facebook.com/bathbustersma/,https://www.linkedin.com/company/bathbusters,"30 N Main St, Leominster, MA 01453",Leominster,WORCESTER,MA,,"G6MV+4C Leominster, Massachusetts",Google Maps,
Contractor,,Valley Home Improvement,(413) 584-7522,,valleyhomeimprovement.com,,31,4.6,,,,,,,,,,,https://www.linkedin.com/company/valley-home-improvement-inc.,"340 Riverside Dr, Northampton, MA 01062",Florence,HAMPSHIRE,MA,,"88CM+8Q Northampton, Massachusetts",Google Maps,
Furniture store,,Hammertown Great Barrington,(413) 528-7766,,hammertown.com,,13,4.8,,,,,,,,,,https://www.facebook.com/HammertownGB/,,"15 Bridge St, Great Barrington, MA 01230",Great Barrington,BERKSHIRE,MA,,"5JVQ+F5 Great Barrington, Massachusetts",Google Maps,
Bathroom remodeler,Spanish,Bath Busters,(508) 925-4300,,bathbusters.com,,109,4.8,GABRIEL,ALMEIDA,,,,,,,https://www.instagram.com/bathbustersne/,https://www.facebook.com/bathbustersma/,https://www.linkedin.com/company/bathbusters,"30 N Main St, Leominster, MA 01453",Leominster,WORCESTER,MA,,"G6MV+4C Leominster, Massachusetts",Google Maps,
Hotel,,Howard Johnson by Wyndham Williamstown,(413) 458-8158,,wyndhamhotels.com,,170,3.0,,,,,,,,,https://www.instagram.com/hojo/,,,"213 Main St, Williamstown, MA 01267",Williamstown,BERKSHIRE,MA,,,Google Maps,
Bathroom remodeler,Portuguese,Bath Busters,(508) 925-4300,,bathbusters.com,,109,4.8,LUCIA,O ALMEIDA,,,,,,,https://www.instagram.com/bathbustersne/,https://www.facebook.com/bathbustersma/,https://www.linkedin.com/company/bathbusters,"30 N Main St, Leominster, MA 01453",Leominster,WORCESTER,MA,,"G6MV+4C Leominster, Massachusetts",Google Maps,
Hardware store,French,Maki Building Center,(978) 343-7422,,makicorp.com,,146,4.3,STEVEN,D SENAY,,,,,,,,,,"160 Massachusetts Ave, Lunenburg, MA 01462",Lunenburg,WORCESTER,MA,,"H6QM+QW Lunenburg, Massachusetts",Google Maps,
Hardware store,Italian,Maki Building Center,(978) 343-7422,,makicorp.com,,146,4.3,DANA,MAKI,,,,,,,,,,"160 Massachusetts Ave, Lunenburg, MA 01462",Lunenburg,WORCESTER,MA,,"H6QM+QW Lunenburg, Massachusetts",Google Maps,
Hardware store,,"Koopman Lumber & Hardware Co, Whitinsville",(508) 234-4545,,koopmanlumber.com,,185,4.8,,,,,,,,,,https://www.facebook.com/koopmanlumberandhardware/,,"665 Church St, Whitinsville, MA 01588",Whitinsville,WORCESTER,MA,,"49F3+96 Whitinsville, Northbridge, MA",Google Maps,
Flooring store,,"W.J. Grosvenor & Co.,",(781) 871-2781,,wjgrosvenor.com,,10,4.6,,,,,,,,,,,,"233 Libbey Pkwy, Weymouth, MA 02188",Weymouth,NORFOLK,MA,,"53R5+8W Weymouth, Massachusetts",Google Maps,
Hardware store,American,Maki Building Center,(978) 343-7422,,makicorp.com,,146,4.3,GLENN,V. MAKI,,,,,,,,,,"160 Massachusetts Ave, Lunenburg, MA 01462",Lunenburg,WORCESTER,MA,,"H6QM+QW Lunenburg, Massachusetts",Google Maps,
Flooring store,,Doyle Wood Flooring,(781) 293-3026,,doylewoodflooring.com,,9,5.0,,,,,,,,,,,,"572 Plymouth St, Halifax, MA 02338",Halifax,PLYMOUTH,MA,,"X4RM+R2 Halifax, Massachusetts",Google Maps,
Swimming pool contractor,,Surfside Pool,(978) 342-6306,,surfsidepoolcompany.com,,46,3.9,,,,,,,,,,https://www.facebook.com/surfsidepoolcompany/,,"139 Lunenburg St, Fitchburg, MA 01420",Fitchburg,WORCESTER,MA,,"H6M8+C8 Fitchburg, Massachusetts",Google Maps,
Hardware store,French,Maki Building Center,(978) 343-7422,,makicorp.com,,146,4.3,JAMES,LEBLANC,,,,,,,,,,"160 Massachusetts Ave, Lunenburg, MA 01462",Lunenburg,WORCESTER,MA,,"H6QM+QW Lunenburg, Massachusetts",Google Maps,
Flooring store,,Remco Flooring,(978) 452-8207,,remcoflooring.com,,16,5.0,,,,,,,,,,,,"108 Middlesex St #1a, North Chelmsford, MA 01863",North Chelmsford,MIDDLESEX,MA,,"JJPG+HP North Chelmsford, Chelmsford, MA",Google Maps,
Flooring contractor,,BG Flooring,(978) 798-1522,,bgfloors.net,,,5.0,,,,,,,,,,,,"155 Hamilton St, Leominster, MA 01453",Leominster,WORCESTER,MA,,"G7V2+2R Leominster, Massachusetts",Google Maps,
Tile contractor,,Davie Mac Tile,(508) 728-9775,,daviemactile.com,,44,5.0,,,,,,,,,,http://www.facebook.com/daviemac.tile,,"36 Greentree Ln APT 12, Weymouth, MA 02190",Weymouth,NORFOLK,MA,,"528W+XG Weymouth, Massachusetts",Google Maps,
Home builder,,Longfellow Design Build Falmouth,(774) 255-1709,,longfellowdb.com,,62,4.5,,,,,,,,,,https://www.facebook.com/LDBfalmouth/,,"367 Main St, Falmouth, MA 02540",Falmouth,BARNSTABLE,MA,,"H92Q+R3 Falmouth, Massachusetts",Google Maps,
Tile contractor,,7X TILE,(508) 901-3639,,7xtile.com,,,5.0,,,,,,,,,https://www.instagram.com/7xtile/,,,"74 Witchwood Rd, South Yarmouth, MA 02664",South Yarmouth,BARNSTABLE,MA,,"MQFX+Q9 South Yarmouth, Yarmouth, MA",Google Maps,
Tile contractor,,Boston Tile and Marble,(781) 318-8132,,,,,,,,,,,,,,,,,"146 Main St, Pepperell, MA 01463",Pepperell,MIDDLESEX,MA,,"MC8G+G5 Pepperell, Massachusetts",Google Maps,
Flooring store,,"Allied Flooring, Paint and Design",(413) 233-3100,,alliedflooringandpaint.com,,90,4.9,,,,,,,,,http://www.instagram.com/alliedflooringandpaint,https://www.facebook.com/alliedflooringandbudgetcabinetsales,,"350 Main St, Agawam, MA 01001",Agawam,HAMPDEN,MA,,"39JM+MG Agawam, Massachusetts",Google Maps,
Contractor,,W.E. Can Do It,(774) 270-4949,,wecandoitcorp.com,,8,5.0,,,,,,,,,https://www.instagram.com/wecandoitcorp/,https://www.facebook.com/WEcandoitcorp/,,"197 Boston Post Rd W, Marlborough, MA 01752",Marlborough,MIDDLESEX,MA,,,Google Maps,
Tile store,,GENROSE Stone and Tile | Burlington MA,(781) 365-0313,,genrose.com,,14,5.0,,,,,,,,,,,,"103 Terrace Hall Ave, Burlington, MA 01803",Burlington,MIDDLESEX,MA,,"FQWG+G2 Burlington, Massachusetts",Google Maps,
Toy store,,Tom's Toys,(413) 528-3330,,tomstoys.com,,47,4.7,,,,,,,,,,,,"297 Main St, Great Barrington, MA 01230",Great Barrington,BERKSHIRE,MA,,"5JVQ+P4 Great Barrington, Massachusetts",Google Maps,
Cabinet store,,Valley Kitchens,(413) 527-1500,,vkitchens.com,,8,5.0,,,,,,,,,,https://www.facebook.com/VKDesignsInc/,,"51 A1 Holyoke St, Easthampton, MA 01027",Easthampton,HAMPSHIRE,MA,,,Google Maps,
Contractor,,"Golden Feather Construction,",(413) 382-9719,,whitestonepainting.com,,,,,,,,,,,,,,,"190 Main St Office Middle, Northampton, MA 01060",Northampton,HAMPSHIRE,MA,,"8999+5C Northampton, Massachusetts",Google Maps,
Masonry contractor,,MJ Briguglio Masonry & Tile,(978) 290-6232,,,,,,,,,,,,,,,,,"6 Elwell St, Gloucester, MA 01930",Gloucester,ESSEX,MA,,"J89W+MM Gloucester, Massachusetts",Google Maps,
Flooring contractor,,Jean Claude Hardwood Floor Services,(413) 743-4904,,,,4,4.0,,,,,,,,,,,,"9 Pearl St, Adams, MA 01220",Adams,BERKSHIRE,MA,,"JV7F+3H Adams, Massachusetts",Google Maps,
Flooring store,,Floor & Tile Studio,(413) 784-1400,,,,3,3.7,,,,,,,,,,,,"1400 Memorial Dr, Chicopee, MA 01020",Chicopee,HAMPDEN,MA,,"5CWF+CX Chicopee, Massachusetts",Google Maps,
Remodeler,American,"Brothers Remodeling & Design,",(978) 602-4506,,brothersremodeling.net,,66,4.9,ARTHUR,R. APONTE,,,,,,,https://www.instagram.com/brothers_remodeling/,https://www.facebook.com/Brothers.Remodeling.Design/,,"213 School St, Gardner, MA 01440",Gardner,WORCESTER,MA,,"H2F7+FH Gardner, Massachusetts",Google Maps,
Contractor,,ASC Contracting,(978) 877-1666,,asccontractingco.com,,,5.0,,,,,,,,,https://www.instagram.com/asccontractingco/,https://www.facebook.com/ASCCONTRACTINGCO/,,"314 Burrage St, Lunenburg, MA 01462",Lunenburg,WORCESTER,MA,,"H8C6+C4 Lunenburg, Massachusetts",Google Maps,
Remodeler,American,"Brothers Remodeling & Design,",(978) 602-4506,,brothersremodeling.net,,66,4.9,SCOTT,M. APONTE,,,,,,,https://www.instagram.com/brothers_remodeling/,https://www.facebook.com/Brothers.Remodeling.Design/,,"213 School St, Gardner, MA 01440",Gardner,WORCESTER,MA,,"H2F7+FH Gardner, Massachusetts",Google Maps,
Oriental rug store,,Persia Oriental Rug Gallery,(508) 753-4667,,persiaorientalrug.com,,22,4.6,,,,,,,,,https://www.instagram.com/persia.rugs,https://m.facebook.com/p/Persia-Oriental-Rug-Gallery-100063638946547/,,"370 Boston Turnpike, Shrewsbury, MA 01545",Shrewsbury,WORCESTER,MA,,"77G9+7J Shrewsbury, Massachusetts",Google Maps,
Tile contractor,,"Marino tile and Marble, setting and design",(508) 560-5772,,jeanmarinotileandmarble.com,,2,5.0,,,,,,,,,,https://www.facebook.com/tilesetting5/,,"14 Center St, Provincetown, MA 02657",Provincetown,BARNSTABLE,MA,,"3R37+GR Provincetown, Massachusetts",Google Maps,
Hardware store,,Koopman Lumber and Hardware Uxbridge,(508) 278-5400,,koopmanlumber.com,,142,4.6,,,,,,,,,,,,"12 Douglas St, Uxbridge, MA 01569",Uxbridge,WORCESTER,MA,,"39G9+JJ Uxbridge, Massachusetts",Google Maps,
Flooring store,,Carpet One Scotts,(413) 443-7434,,scottscarpetonepittsfield.com,,34,4.6,,,,,,,,,,,,"1571 East St, Pittsfield, MA 01201",Pittsfield,BERKSHIRE,MA,,"FQ3Q+XR Pittsfield, Massachusetts",Google Maps,
Painting,Portuguese,True Colors Painting & Construction,,,truecolorsma.com,,13,5.0,ANDRE,VITOR OLIVEIRA MIGUEL,,,,,,,https://www.instagram.com/truecolorspaintinginc,https://www.facebook.com/profile.php?id=100078115944872&mibextid=LQQJ4d,,"55 Fox Meadow Rd, Leominster, MA 01453",Leominster,WORCESTER,MA,,"H734+42 Leominster, Massachusetts",Google Maps,
Flooring store,,B M Flooring,(781) 762-4234,,,,25,3.6,,,,,,,,,,,,"106 Access Rd, Norwood, MA 02062",Norwood,NORFOLK,MA,,"5RPC+JF Norwood, Massachusetts",Google Maps,
Flooring store,,Harry's Carpet One Floor & Home,(617) 752-3272,,harryscarpetonequincy.com,,127,5.0,,,,,,,,,https://www.instagram.com/harrys_carpet_one,https://www.facebook.com/harryscarpetone/,,"676 Hancock St, Quincy, MA 02170",Quincy,NORFOLK,MA,,"7X9M+4P Quincy, Massachusetts",Google Maps,
Tile store,,Garcia Imported Tile Co,(508) 991-4455,,garciatile.com,,18,4.7,,,,,,,,,,,,"410 Main St, Fairhaven, MA 02719",Fairhaven,BRISTOL,MA,,"M36R+FH Fairhaven, Massachusetts",Google Maps,
Tile contractor,,Guide Builders,(978) 337-5078,,guidebuilderscorp.com,,4,5.0,,,,,,,,,http://instagram.com/guidebuilderscorp,,,"273 High St, Lowell, MA 01852",Lowell,MIDDLESEX,MA,,"JMRX+MR Lowell, Massachusetts",Google Maps,
Flooring contractor,,Steve Nutter and Son Cabinetry & Specialty Flooring,(508) 566-0686,,,,3,5.0,,,,,,,,,,,,"14 Terrance Ave, East Falmouth, MA 02536",East Falmouth,BARNSTABLE,MA,,"HCMR+HG East Falmouth, Falmouth, MA",Google Maps,
Carpet cleaning service,Irish,Horrigan Cleaners,(978) 632-4200,,horrigancleaners.com,,26,4.8,PATRICK,W. HORRIGAN,,,,,,,,,,"100 Pearson Blvd, Gardner, MA 01440",Gardner,WORCESTER,MA,,"H26C+J4 Gardner, Massachusetts",Google Maps,
Tile contractor,,RW Tile,(508) 939-4094,,,,3,5.0,,,,,,,,,https://www.instagram.com/rwtileinc/,https://www.facebook.com/rwtileinc/,,"15 E Line Rd, Edgartown, MA 02539",Edgartown,DUKES,MA,,"99RW+HP Edgartown, Massachusetts",Google Maps,
Countertop store,,Absolute Tile Marble & Cabinets,(978) 369-3055,,absolutetilemarbleandcabinets.com,,49,4.9,,,,,,,,,,,,"583 Massachusetts Ave, Acton, MA 01720",Acton,MIDDLESEX,MA,,"FGGG+H6 Acton, Massachusetts",Google Maps,
Tile contractor,,Ability Tile Plus,(781) 353-8675,,abilitytileplus.com,,,,,,,,,,,,,https://www.facebook.com/abilitytileplus/,,"73 Heritage Ln, Leominster, MA 01453",Leominster,WORCESTER,MA,,"H752+4G Leominster, Massachusetts",Google Maps,
Carpet cleaning service,Irish,Horrigan Cleaners,(978) 632-4200,,horrigancleaners.com,,26,4.8,TIMOTHY,J. HORRIGAN,,,,,,,,,,"100 Pearson Blvd, Gardner, MA 01440",Gardner,WORCESTER,MA,,"H26C+J4 Gardner, Massachusetts",Google Maps,
General contractor,,Cummings Remodeling & Flooring,(413) 783-1101,,cummingsrf.com,,17,4.2,,,,,,,,,https://www.instagram.com/cummingsfloor/,https://www.facebook.com/CummingsFloorCovering,,"34 Front St, Indian Orchard, MA 01151",Indian Orchard,HAMPDEN,MA,,"5F6V+5H Indian Orchard, Springfield, MA",Google Maps,
Tile contractor,,Marshall Tile And Marble,(617) 970-0406,,marshalltile.com,,2,5.0,,,,,,,,,https://www.instagram.com/marshall_tile_and_marble_co/,,,"10 School St, Norwood, MA 02062",Norwood,NORFOLK,MA,,"5QWX+X5 Norwood, Massachusetts",Google Maps,
Flooring contractor,,Island Tile,(508) 939-1179,,,,,3.0,,,,,,,,,,,,"Vineyard Haven, MA 02568",Vineyard Haven,DUKES,MA,,"CC6G+CF Vineyard Haven, Tisbury, MA",Google Maps,
Tile contractor,,De Jesus Tile,,,,,,,,,,,,,,,,,,"8 Cherry St, Salem, MA 01970",Salem,ESSEX,MA,,"G484+8G Salem, Massachusetts",Google Maps,
Plumbing supply store,,F.W. Webb Company - Falmouth,(774) 255-4155,,fwwebb.com,,23,4.3,,,,,,,,,,,,"171 Worcester Ct, Falmouth, MA 02540",Falmouth,BARNSTABLE,MA,,"HC43+QC Falmouth, Massachusetts",Google Maps,
Contractor,,Ireland Home Improvement,(413) 329-0804,,,,5,3.8,,,,,,,,,,https://www.facebook.com/Irelandhomeimprovement/,,"97 Acorn St, Pittsfield, MA 01201",Pittsfield,BERKSHIRE,MA,,"FP7M+FV Pittsfield, Massachusetts",Google Maps,
Flooring store,,LL Flooring,(413) 682-1583,,llflooring.com,,67,4.2,,,,,,,,,https://www.instagram.com/llflooringofficial,https://www.facebook.com/350205565157514,,"2148 Boston Rd, Wilbraham, MA 01095",Wilbraham,HAMPDEN,MA,,"5G2M+G7 Wilbraham, Massachusetts",Google Maps,
Flooring store,,T J Perron & Co Pro Floor,(413) 477-0080,,,,4,2.0,,,,,,,,,,,,"536 Gilbertville Rd, New Braintree, MA 01531",New Braintree,WORCESTER,MA,,"8R3W+37 New Braintree, Massachusetts",Google Maps,
Kitchen remodeler,,Kitchens of Distinction,(413) 569-1100,,kodkitchens.com,,14,4.1,,,,,,,,,,,,"599 College Hwy, Southwick, MA 01077",Southwick,HAMPDEN,MA,,"367M+3R Southwick, Massachusetts",Google Maps,
Home improvement store,,Surplus Warehouse,(508) 791-9201,,bartonshome.com,,,,,,,,,,,,,,,"77 Southbridge St, Auburn, MA 01501",Auburn,WORCESTER,MA,,"65FH+H2 Auburn, Massachusetts",Google Maps,
Tile contractor,,Becker General service,(978) 871-8032,,generalservicesbecker.com,,9,5.0,,,,,,,,,https://www.instagram.com/beckergeneral23/,https://www.facebook.com/profile.php?id=100087643586062,,"1 Swampscott Ave, Peabody, MA 01960",Peabody,ESSEX,MA,,"G3C8+5M Peabody, Massachusetts",Google Maps,
Flooring store,,Countryside Floors,(508) 657-1538,,countrysidefloors.us,,22,4.8,,,,,,,,,,https://m.facebook.com/Countrysidefloors.us,,"60 Mellen St, Hopedale, MA 01747",Hopedale,WORCESTER,MA,,"4F8W+JW Hopedale, Massachusetts",Google Maps,
Tile store,,Wayne Tile Norwood,(781) 440-0604,,waynetile.com,,,,,,,,,,,,https://www.instagram.com/wayne_tile_company/,https://m.facebook.com/buddystileoutlet/about/?referrer=services_landing_page,,"151 Carnegie Row, Norwood, MA 02062",Norwood,NORFOLK,MA,,"5R94+XJ Norwood, Massachusetts",Google Maps,
Carpet store,Russian,Oriental Ispahan Rug,(978) 342-1930,,,,,5.0,ROBERT,DERMARDEROSIAN,,,,,,,,,,"85 Lunenburg St, Fitchburg, MA 01420",Fitchburg,WORCESTER,MA,,"H6M7+84 Fitchburg, Massachusetts",Google Maps,
Carpet store,Greek,Oriental Ispahan Rug,(978) 342-1930,,,,,5.0,PAULA,DERMADEROSIAN,,,,,,,,,,"85 Lunenburg St, Fitchburg, MA 01420",Fitchburg,WORCESTER,MA,,"H6M7+84 Fitchburg, Massachusetts",Google Maps,
Carpet store,English,Oriental Ispahan Rug,(978) 342-1930,,,,,5.0,ROBERT,DERMADEROSIAN,,,,,,,,,,"85 Lunenburg St, Fitchburg, MA 01420",Fitchburg,WORCESTER,MA,,"H6M7+84 Fitchburg, Massachusetts",Google Maps,
Flooring contractor,,Cape Artisan Tile,(781) 633-6846,,,,6,4.8,,,,,,,,,https://www.instagram.com/capeartisantile/,https://www.facebook.com/capeartisantile,,"22 Washington St, Norwell, MA 02061",Norwell,PLYMOUTH,MA,,"54F8+FJ Norwell, Massachusetts",Google Maps,
Hardware store,,Cummington Supply,(413) 634-8868,,,,42,4.7,,,,,,,,,,,,"18 Main St, Cummington, MA 01026",Cummington,HAMPSHIRE,MA,,"F455+J8 Cummington, Massachusetts",Google Maps,
Plumbing supply store,,F.W. Webb Company - Fitchburg,(978) 345-4121,,fwwebb.com,,29,4.3,,,,,,,,,,,,"135 Falulah St, Fitchburg, MA 01420",Fitchburg,WORCESTER,MA,,"H66F+RC Fitchburg, Massachusetts",Google Maps,
Art studio,,Tiny Tile Mosaics,+1 340-228-4977,,tinytilemosaics.com,,68,5.0,,,,,,,,,https://www.instagram.com/tinytilemosaics/,https://www.facebook.com/p/Tiny-Tile-Mosaics-Studio-100089083393168/,,"37 Central Square, Chelmsford, MA 01824",Chelmsford,MIDDLESEX,MA,,"HJWX+C8 Chelmsford, Massachusetts",Google Maps,
Home builder,,Lesleo Home Remodeling and Repair,(781) 475-8846,,lesleohomefix.com,,2,5.0,,,,,,,,,https://www.instagram.com/lesleohomefix/,https://www.facebook.com/lesleohomefix/,,"240 Barker Ave APT 3, Lowell, MA 01850",Lowell,MIDDLESEX,MA,,"MM7V+3F Lowell, Massachusetts",Google Maps,
Carpet store,,Carpet Remnant Warehouse,(508) 747-0662,,carpetremnantwarehouse.com,,41,5.0,,,,,,,,,https://www.instagram.com/carpetremnant/,https://www.facebook.com/carpetremnantwarehouse/,https://www.linkedin.com/in/jacobe-botelho-29946b59,"129 Camelot Dr, Plymouth, MA 02360",Plymouth,PLYMOUTH,MA,,"W9H4+45 Plymouth, Massachusetts",Google Maps,
Flooring store,,DHB Floors,(413) 543-4472,,dhbwoodfloors.com,,,1.0,,,,,,,,,,https://www.facebook.com/dhbfloorsinc/,,"20 Oak Ridge St, Indian Orchard, MA 01151",Indian Orchard,HAMPDEN,MA,,"5G27+56 Indian Orchard, Springfield, MA",Google Maps,
Flooring store,,RL Floor Covering,(978) 368-1223,,,,,5.0,,,,,,,,,,https://www.facebook.com/rlfloor/,,"60 Water St, Clinton, MA 01510",Clinton,WORCESTER,MA,,"C8C7+GW Clinton, Massachusetts",Google Maps,
Tile store,,DJ Tiles,(508) 251-1269,,djtiles.com,,74,4.8,,,,,,,,,https://www.instagram.com/djtilesgroup/,https://www.facebook.com/djtilesgroup/,,"785 Boston Post Rd E, Marlborough, MA 01752",Marlborough,MIDDLESEX,MA,,"9G22+4J Marlborough, Massachusetts",Google Maps,
Tile contractor,,D B Tile,(508) 892-8550,,dbtile.com,,3,2.3,,,,,,,,,https://www.instagram.com/dbtile/,,,"6 Mayflower Cir, Leicester, MA 01524",Leicester,WORCESTER,MA,,"63MP+7M Leicester, Massachusetts",Google Maps,
Carpenter,,La Winship Construction,(508) 888-0354,,lawinshipconstruction.com,,4,5.0,,,,,,,,,,https://www.facebook.com/LAWinship.Construction.Co/,,"33 Livingston Dr, Plymouth, MA 02360",Plymouth,PLYMOUTH,MA,,"RC59+XF Plymouth, Massachusetts",Google Maps,
Flooring contractor,,Valentin’s Solutions,(978) 833-1298,,valentinssolutionsllc.com,,,5.0,,,,,,,,,,,,"34 Sanborn St, Gardner, MA 01440",Gardner,WORCESTER,MA,,"H2G6+3V Gardner, Massachusetts",Google Maps,
Contractor,,Falmouth Kitchen Korner,(508) 540-6484,,falmouthkitchenkorner.com,,7,4.9,,,,,,,,,https://www.instagram.com/falmouthkitchenkorner/,https://www.facebook.com/FalmouthKitchenKorner/,,"205 Worcester Ct Ste 7B, Falmouth, MA 02540",Falmouth,BARNSTABLE,MA,,"HC53+Q5 Falmouth, Massachusetts",Google Maps,
Hardware store,,Aubuchon Hardware,(413) 529-9494,,hardwarestore.com,,190,4.7,,,,,,,,,,https://www.facebook.com/AubuchonEasthamptonMA/,,"168 Northampton St, Easthampton, MA 01027",Easthampton,HAMPSHIRE,MA,,"78MM+C2 Easthampton, Massachusetts",Google Maps,
Tile contractor,,Crown Tile,(774) 294-5400,,,,,,,,,,,,,,,,,"657 Quarry St, Fall River, MA 02723",Fall River,BRISTOL,MA,,"MVR6+23 Fall River, Massachusetts",Google Maps,
Flooring contractor,,Concrete Renovations,(413) 998-3174,,concreterenovationsinc.com,,5,5.0,,,,,,,,,,https://www.facebook.com/ConcreteRenovationsInc/,,"282 S Loomis St, Southwick, MA 01077",Southwick,HAMPDEN,MA,,"35FJ+6P Southwick, Massachusetts",Google Maps,
Plumbing supply store,,K & N Supply Plumbing & Heating,(508) 791-1467,,,,22,4.9,,,,,,,,,,,,"159 Water St, Worcester, MA 01604",Worcester,WORCESTER,MA,,"7643+47 Worcester, Massachusetts",Google Maps,
Flooring contractor,,Millena Flooring,(774) 244-0577,,millenaflooring.com,,97,4.7,,,,,,,,,https://www.instagram.com/millenainc,https://www.facebook.com/Millenaflooring/,https://www.linkedin.com/in/paulo-vaz-a94439179/,"23 Christina Rd, Milford, MA 01757",Milford,WORCESTER,MA,,"4FJV+PV Milford, Massachusetts",Google Maps,
General contractor,,B and B Home Improvements,(774) 563-9798,,bandbhomeimprovements.com,,19,5.0,,,,,,,,,https://www.instagram.com/bandbhomeimprovements/,https://www.facebook.com/bandbhomeimprovements/,,"61 Lagoon Pond Rd, Vineyard Haven, MA 02568",Vineyard Haven,DUKES,MA,,"F92X+QH Vineyard Haven, Tisbury, MA",Google Maps,
Plumbing supply store,,F.W. Webb Company - Pittsfield,(413) 448-8205,,fwwebb.com,,10,3.7,,,,,,,,,,,,"35 Commercial St, Pittsfield, MA 01201",Pittsfield,BERKSHIRE,MA,,"FQ3M+8V Pittsfield, Massachusetts",Google Maps,
Bathroom remodeler,,Reglaze7 Inc .,(857) 308-8181,,reglaze7.com,,17,4.2,,,,,,,,,,https://www.facebook.com/Reglaze7/,,"75 Williams St #1L, Chelsea, MA 02150",Chelsea,SUFFOLK,MA,,"9XQ5+RG Chelsea, Massachusetts",Google Maps,
Home builder,,McNamara Contracting,(978) 354-7557,,mcnamarabuilds.com,,43,4.9,,,,,,,,,https://www.instagram.com/macremodel/,https://www.facebook.com/McNamaraContracting/,,"87 Roosevelt St, Fitchburg, MA 01420",Fitchburg,WORCESTER,MA,,"H593+FH Fitchburg, Massachusetts",Google Maps,
Tile contractor,,Rja Tile & Stone,(413) 637-0095,,,,,5.0,,,,,,,,,,,,"480 Housatonic St, Lenox, MA 01240",Lenox,BERKSHIRE,MA,,"9Q23+97 Lenox, Massachusetts",Google Maps,
